Player,Span,Matches,Innings,NotOuts,Runs,HighestScore,Average,BallsFaced,StrikeRate,100s,50s,0s,4s,6s,Country ,HighestScore_but_NotOut,StrikeRate > 60 ,Total_Year_Played
GS Chappell, 1970-1984 ,87,151,19,7110, 247* ,53.86, 13079+ ,51.53,24,31,12, 755 , 16,AUS,247*,Less than 60 ,15
AJ Strauss, 2004-2012 ,100,178,6,7037, 177 ,40.91, 14385 ,48.91,21,27,15, 867 , 10,ENG,Out,Less than 60 ,9
BA Stokes, 2013-2025 ,115,206,9,7032, 258 ,35.69, 11845 ,59.36,14,35,16, 810 , 136,ENG,Out,Less than 60 ,13
DG Bradman, 1928-1948 ,52,80,10,6996, 334 ,99.94, 9800+ ,58.6,29,13,7, 626+ , 6,AUS,Out,Less than 60 ,21
ST Jayasuriya, 1991-2007 ,110,188,14,6973, 340 ,40.07, 10698 ,65.18,14,31,15, 910 , 59,SL,Out,ST Jayasuriya (SL) ,17
L Hutton, 1937-1955 ,79,138,15,6971, 364 ,56.67, 2844+ ,39.34,19,33,5, 358+ , 7,ENG,Out,Less than 60 ,19
DB Vengsarkar, 1976-1992 ,116,185,22,6868, 166 ,42.13, 10810+ ,41.56,17,35,15, 509+ , 17,IND,Out,Less than 60 ,17
KF Barrington, 1955-1968 ,82,131,15,6806, 256 ,58.67, 4957+ ,42.42,20,35,5, 591+ , 27,ENG,Out,Less than 60 ,14
GP Thorpe, 1993-2005 ,100,179,28,6744, 200* ,44.66, 14693 ,45.89,16,39,12, 778 , 9,ENG,200*,Less than 60 ,13
BB McCullum, 2004-2016 ,101,176,9,6453, 302 ,38.64, 9989 ,64.6,12,31,14, 776 , 107,NZ,Out,BB McCullum (NZ) ,13
PA de Silva, 1984-2002 ,93,159,11,6361, 267 ,42.97, 11249+ ,51.04,20,22,7, 737+ , 48,SL,Out,Less than 60 ,19
LD Chandimal, 2011-2025 ,90,161,15,6361, 206* ,43.56, 12703 ,50.07,16,34,8, 668 , 44,SL,206*,Less than 60 ,15
Mushfiqur Rahim, 2005-2025 ,98,181,15,6328, 219* ,38.12, 13069 ,48.41,12,27,13, 737 , 37,BAN,219*,Less than 60 ,21
MEK Hussey, 2005-2013 ,79,137,16,6235, 195 ,51.52, 12436 ,50.13,19,29,12, 685 , 39,AUS,Out,Less than 60 ,9
RB Kanhai, 1957-1974 ,79,137,6,6227, 256 ,47.53, 2914+ ,47.87,15,28,7, 491+ , 23+,WI,Out,Less than 60 ,18
M Azharuddin, 1984-2000 ,99,147,9,6215, 199 ,45.03, 9892+ ,57.82,22,21,5, 720+ , 19,IND,Out,Less than 60 ,17
HH Gibbs, 1996-2008 ,90,154,7,6167, 228 ,41.95, 12270 ,50.26,14,26,11, 887 , 47,SA,Out,Less than 60 ,13
RN Harvey, 1948-1963 ,79,137,10,6149, 205 ,48.41, 1799+ ,43.74,21,24,7, 427+ , 1,AUS,Out,Less than 60 ,16
GR Viswanath, 1969-1983 ,91,155,10,6080, 222 ,41.93, 7573+ ,43.62,14,35,10, 567+ , 6,IND,Out,Less than 60 ,15
UT Khawaja, 2011-2025 ,84,152,14,6053, 232 ,43.86, 12464 ,48.56,16,27,9, 645 , 28,AUS,Out,Less than 60 ,15
JM Bairstow, 2012-2024 ,100,178,12,6042, 167* ,36.39, 10228 ,59.07,12,26,17, 719 , 56,ENG,167*,Less than 60 ,13
KC Brathwaite, 2011-2025 ,100,193,10,5950, 212 ,32.51, 14571 ,40.83,12,31,19, 594 , 17,WI,Out,Less than 60 ,15
RB Richardson, 1983-1995 ,86,146,12,5949, 194 ,44.39, 12398+ ,47.77,16,27,8, 761+ , 23,WI,Out,Less than 60 ,13
RR Sarwan, 2000-2011 ,87,154,8,5842, 291 ,40.01, 12484 ,46.79,15,31,12, 747 , 14,WI,Out,Less than 60 ,12
TWM Latham, 2014-2024 ,88,158,6,5834, 264* ,38.38, 12283 ,47.49,13,31,13, 665 , 19,NZ,264*,Less than 60 ,11
ME Trescothick, 2000-2006 ,76,143,10,5825, 219 ,43.79, 10685 ,54.51,14,29,12, 831 , 42,ENG,Out,Less than 60 ,7
DCS Compton, 1937-1957 ,78,131,15,5807, 278 ,50.06, 2731+ ,38.81,17,28,10, 342+ , 3,ENG,Out,Less than 60 ,21
Saleem Malik, 1982-1999 ,103,154,22,5768, 237 ,43.69, 10906+ ,49.33,15,29,12, 678+ , 7,PAK,Out,Less than 60 ,18
N Hussain, 1990-2004 ,96,171,16,5764, 207 ,37.18, 14272 ,40.38,14,33,14, 734 , 24,ENG,Out,Less than 60 ,15
CL Hooper, 1987-2002 ,102,173,15,5762, 233 ,36.46, 11462 ,50.27,13,27,13, 633 , 63,WI,Out,Less than 60 ,16
MP Vaughan, 1999-2008 ,82,147,9,5719, 197 ,41.44, 11184 ,51.13,18,18,9, 742 , 22,ENG,Out,Less than 60 ,10
AC Gilchrist, 1999-2008 ,96,137,20,5570, 204* ,47.6, 6796 ,81.95,17,26,14, 677 , 100,AUS,204*,AC Gilchrist (AUS) ,10
MV Boucher, 1997-2012 ,147,206,24,5515, 125 ,30.3, 11005 ,50.11,5,35,17, 656 , 20,ICC/SA,Out,Less than 60 ,16
MS Atapattu, 1990-2007 ,90,156,15,5502, 249 ,39.02, 12384+ ,44.42,16,17,22, 685 , 4,SL,Out,Less than 60 ,18
TM Dilshan, 1999-2013 ,87,145,11,5492, 193 ,40.98, 8379 ,65.54,16,23,14, 677 , 24,SL,Out,TM Dilshan (SL) ,15
TT Samaraweera, 2001-2013 ,81,132,20,5462, 231 ,48.76, 11641 ,46.92,14,30,11, 633 , 7,SL,Out,Less than 60 ,13
MD Crowe, 1982-1995 ,77,131,11,5444, 299 ,45.36, 12190 ,44.65,17,18,9, 659 , 27,NZ,Out,Less than 60 ,14
JB Hobbs, 1908-1930 ,61,102,7,5410, 211 ,56.94, 5363+ ,46.22,15,28,4, 276+ , 8,ENG,Out,Less than 60 ,23
KD Walters, 1965-1981 ,74,125,14,5357, 250 ,48.26, 8662+ ,49.16,15,33,4, 525+ , 23,AUS,Out,Less than 60 ,17
D Elgar, 2012-2024 ,86,152,11,5347, 199 ,37.92, 11190 ,47.78,14,23,13, 684 , 26,SA,Out,Less than 60 ,13
IM Chappell, 1964-1980 ,75,136,10,5345, 196 ,42.42, 8511+ ,45.64,14,26,11, 562+ , 15,AUS,Out,Less than 60 ,17
JG Wright, 1978-1993 ,82,148,7,5334, 185 ,37.82, 14619+ ,35.26,12,23,7, 621+ , 10,NZ,Out,Less than 60 ,16
MJ Slater, 1993-2001 ,74,131,7,5312, 219 ,42.83, 9967 ,53.29,14,21,9, 598 , 30,AUS,Out,Less than 60 ,9
N Kapil Dev, 1978-1994 ,131,184,15,5248, 163 ,31.05, 5192+ ,79.33,8,27,16, 557+ , 61,IND,Out,N Kapil Dev (IND) ,17
WM Lawry, 1961-1971 ,67,123,12,5234, 210 ,47.15, 7154+ ,39.34,13,27,6, 433+ , 15,AUS,Out,Less than 60 ,11
Misbah-ul-Haq, 2001-2017 ,75,132,20,5222, 161* ,46.62, 11726 ,44.53,10,39,9, 511 , 81,PAK,161*,Less than 60 ,17
IT Botham, 1977-1992 ,102,161,6,5200, 208 ,33.54, 8565 ,60.71,14,22,14, 621 , 67,ENG,Out,IT Botham (ENG) ,16
JH Edrich, 1963-1976 ,77,127,9,5138, 310* ,43.54, 12102+ ,37.23,12,24,6, 548+ , 11,ENG,310*,Less than 60 ,14
Tamim Iqbal, 2008-2023 ,70,134,2,5134, 206 ,38.89, 8852 ,57.99,10,31,11, 655 , 41,BAN,Out,Less than 60 ,16
A Ranatunga, 1982-2000 ,93,155,12,5105, 135* ,35.69, 8672+ ,49.96,4,38,12, 534+ , 40,SL,135*,Less than 60 ,19
AM Rahane, 2013-2023 ,85,144,12,5077, 188 ,38.46, 10256 ,49.5,12,26,10, 578 , 35,IND,Out,Less than 60 ,11
Zaheer Abbas, 1969-1985 ,78,124,11,5062, 274 ,44.79, 6935+ ,55.22,12,20,10, 458+ , 22,PAK,Out,Less than 60 ,17
